Serial_No,Drug_Name,Batch_No,Manufacturing_Date,Expiry_Date,Manufacturer,Failure_Reason,Laboratory,Drawn_By,Remarks,Status,Source,Document,Risk_Level
112,VCE C-P Tablets Aceclofenac and Paracetamol Tablets,T G 2 4 - 2 0 2 8 C,S e p - 2 4,A u g - 2 6,"M / s A t h e n s L i f e S c i e n c e s M a u z a Rampur, Jattan, Nahan Road, Kala Amb, Distt. Sirmour, H.P.-173030",The label should be mentioned as Aceclofenac a n d P a r a c e t a m o l I P . B u t the letter IP is not mentioned after the product name. Aceclofenac and Paracetamol,"S t a t e L a b , Drugs Control Laboratory, T e l a n g a n a .",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
113,Tonz ee-20 (Zinc Sulphate Tablets IP 20mg),ZS-2405,Jul-24,Jun-26,"M/s.Torino Laboratories Pvt. Ltd., Fact: Plot No. 65/1, Sector 1, Pithampur – 454775, Dist. Dhar (INDIA).",Disintegration,"State Drugs Testing Laboratory, Agartala, Tripura.",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
114,Azil ium 200 Suspension,SL-508,Feb-24,Jan-26,"M/s. SB Lifesciences (An ISO 9001:2015 Certified Co.) Plot no. 32, Sector-6, LLE Pantnagar, Distt. U.S. Nagar, Uttarakhand 263153",Content of Anhydrous Azithromycin,"FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
115,Azi. XL 200(Azithromycin Oral Suspension IP),GLE0901,Aug-25,Jul-26,"M/s. Digital Vision 176, Mauza Ogli, Nahan Road, Kala Amb, Dist. Sirmour (H.P) 173030",Content of Anhydrous Azithromycin,"FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
116,Osoc ip-D Eye/Ear drops Ciprofloxacin & Dexamethasone Eye/Ear drops IP,E240113A,Jan-24,Dec-25,"M/s. Oscar Remedies Pvt Ltd., Oscar House, Badi Majra Yamuna Nagar 135001",Content of Ciprofloxacin in the sample is more (i.e 943.33% of the labelled amount) than the permissible limits. 2. identification test for the presence of Dexamethasone Sodium Phosphate. 3. The sample gives high performance liquid chromatographic identification test for the presence of Dexamethasone. 4. The content of Dexamthasone in the sample is 0.078% W/V. 5. Name of the sample: Ciprofloxacin & Dexamethasone Eye/Ear drops IP 2022.,"FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
117,"Ceta cin-150, Paracetamol Injection",TGL11230643,Nov-24,Oct-25,"M/s. T & G Medicare Village Kunjahal, PO Baddi, Distt. Solan",50×2ml intact ambered coloured glass ampules received for the analysis. All the samples contain pink coloured solution.,"FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
118,P.D. Col Eye ointment IP 1% w/w,2023-113,Aug-23,Jul-25,"M/s. Packsules 45, Keshar Bagh Road, Indore Madhya Pradesh- 452009",Uniformity of Weight.,"FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
119,Regi men Hand Rub Aloevera 70% Alcohol,HSAL0050,Oct-24,Oct-26,"M/s. Chemstellar Chemicals Pvt Ltd. Plot No. 215, GR. Fl. Steel warehousing Comp. Kalamboli, Panvel, Raigad, Kalamboli-410208","1. The sample gives GC identification test for the presence of Methanol. 2. The sample does not give GC identification test for the presence of Ethanol, 1- Propanol & 2-Propanol. 3. The sample contains 51.80% v/v of Methanol.","FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
120,Lyci tra MK Montelukast with Levocetirizine Dihydrochloride Syrup,D-0241,Nov-23,Oct-25,"M/s.Animus Healthcare30, Shubhlaxmi, Ind. Estate, Opp Sanket, Estate at Moraiya Ta: Sanand, Ahmedabad-3882213, Gujarat",The content of Montelukast (i.e 17.18% of the labelled amount) is less than the schedule V limit (Schedule V limit- 90%-110% of the labelled amount),"FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
121,Osco rcip-D Eye/Ear Drops,E24020A,Feb-24,Jan-26,"M/s. Oscar Remedies Pvt Ltd., Oscar House, Badi Majra Yamuna Nagar Haryaana 135001",1. The content of Ciprofloxacin in the sample is more (i.e 1023.33% of the labelled amount) than the permissible limits. 2. The sample does not give HPLC identification test for the presence of Dexamethasone sodium phosphate. 3. The sample gives HPLC identification test for the presence of Dexamethasone. 4. The content of Dexamethasone in the sample is 0.066% w/v 5 . Test for the sterility.,"FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
122,Elca res Metronidazole 400(Metronidazole tablets IP 400 mg,MTE-22004,Feb-23,Jan-26,"M/s. Neutech Healthcare private ltd. E-698 ,DSIDC, Narela, Industrail, Delhi- 110040",Dissolution test.,"FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
123,Cura cet Tablets (Cetirizine Hydrochloride),CHT23320,Oct-23,Sep-25,"M/s. Cureza Healthcare pvt. Ltd. A.B.Road Girwai, 474001","Almost all the tablets received for analysis show Grey coloured spots all over the surface of the tablet, when observed in","FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
124,Enro floxacin Injection La (Welflox La),VT240352A,Mar-24,Feb-26,"M/s. Integrated Laboratories Pvt Ltd. Nahan Road, Vill. Moginand, Kala Amb, Distt. Sirmour Himachal Pradesh 173030",1. The Content of Enrofloxacin in the sample is less (i.e. 45.64% of the labelled amount),"FDA Lab , Mumbai",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
