S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
24.,Compound Sodium Lactate Injection IP (RINGER-LACTATE SOLUTION FOR INJECTION ) (RL),1I245476,09/2024,08/2027,"M/s. Aculife Healthcare Pvt. Ltd., Sachana, Gujarat- 382150, India",Sterility,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
25.,"Rifampicin, Isoniazid and Ethmbutol Hydrochloride Tablets IP",TR-820008,07/2024,06/2026,"M/s. Centurion Remedies Pvt. Ltd., G/5,6, B.I.D.C. Gorwa, Vadodara -390016",Assay of Rifampicin,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
26.,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1294,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
27.,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1299,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
28.,Calcium Carbonate 500 mg + VIT. D3 250 IU Tablets IP (CALXIA 500 ),GTL1300,12/2024,11/2026,"M/s. Gidsha Pharmaceuticals, Plot No. 611 612, Mega GIDC, Kharedi, Dahod-389151, Gujarat.",Dissolution (for Calcium),"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
29.,Ondansetron Oral Solution I.P. 2mg/5ml,ONES-1004,09/2024,08/2026,"M/s. Wings Biotech, 43 and 44, HPSIDC, Industrial Area, Baddi-173 205 (H.P.)",Related Susbtances,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
30.,Gentamicin Injection IP (Gentatore Injection 80 mg/2ml),IGMG418,07/2024,06/2026,"M/s. Regain Laboratories, 134/5, HTM Road, Rajpur Lane, Hisar-125001, Haryana",Particulate matter and Description,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
31.,Teneligliptin & Metformin Hydrochloride (Sustained Release) Tablets IP (Teglisure-M 500),AOT244-00B,03/2024,02/2026,"M/s. Astonea Labs Pvt. Ltd., Vill- Haripur, Teh. Raipur Rani, Dist. Panchkula, Haryana, INDIA-134204",Assay/content of Teneligliptin,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
32.,Cefpodoxime Proxetil Tablets I.P. 200 mg (BREPOD-200),ST-25456,10/2024,09/2026,"M/s. Sunvij Drugs Private Limited, 511, GIDC, Waghodia, Baroda-391760, Gujarat",Dissolution,"CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
33.,Rabeprazole Sodium Injection IP,MD23H19,08/2023,07/2025,"M/s. Martin & Brown Bio Sciences, K. No. 918/419, Malkumajra, Nalagarh Road, Baddi, Dist. Solan (H.P.)- 173205","pH, Particulate matter, Clarity of Solution, Assay of Rabeprazole Sodium and Description","CDL, Kolkata",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
